,case_number,date,year,type,country,area,location,activity,name,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,pdf,href_formula,href,case_number_1,case_number_2,original_order,unnamed_22,unnamed_23
1872,2002.04.01,2002-04-01,2002,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1873,2002.03.25.b,2002-03-25,2002,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1874,2002.03.25.a,2002-03-25,2002,Unprovoked,Usa,Florida,unknown,Wading,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1876,2002.03.19,2002-03-19,2002,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1877,2002.03.15.b,2002-03-15,2002,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Morning,nurse,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1878,2002.03.15.a,2002-03-15,2002,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,spinner,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1881,2002.02.16,2002-02-16,2002,Unprovoked,Australia,Queensland,unknown,Surfing,unknown,M,0,unknown,N,Morning,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1883,2002.02.07,2002-02-07,2002,Provoked,Australia,New South Wales,unknown,Bathing,unknown,M,0,unknown,N,Night,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1884,2002.01.30.b,2002-01-30,2002,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Night,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1886,2002.01.04,2002-01-04,2002,Unprovoked,South africa,KwaZulu-Natal,unknown,Fishing,unknown,M,0,unknown,N,Dawn,zambesi,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1888,2002.01.01.b,2002-01-01,2002,Unprovoked,South africa,KwaZulu-Natal,unknown,Bathing,unknown,M,0,unknown,N,Night,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1889,2002.01.01.a,2002-01-01,2002,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1895,2001.10.02,2001-10-02,2001,Unprovoked,Australia,Queensland,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1896,2001.09.30.b,2001-09-30,2001,Unprovoked,Mexico,Guerrero,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1898,2001.09.24,2001-09-24,2001,Provoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1900,2001.09.16,2001-09-16,2001,Unprovoked,Usa,Florida,unknown,Diving,unknown,M,0,unknown,Y,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1901,2001.09.15.b,2001-09-15,2001,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1907,2001.09.03.b,2001-09-03,2001,Unprovoked,Usa,North Carolina,unknown,Swimming,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1908,2001.09.03.a,2001-09-03,2001,Unprovoked,Usa,North Carolina,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1909,2001.09.02,2001-09-02,2001,Unprovoked,Usa,Florida,unknown,Wading,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1910,2001.09.01,2001-09-01,2001,Unprovoked,Usa,Virginia,unknown,Swimming,unknown,M,0,unknown,Y,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1911,2001.08.31,2001-08-31,2001,Unprovoked,Bahamas,Abaco Islands,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1916,2001.08.22,2001-08-22,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1921,2001.08.18.c,2001-08-18,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1922,2001.08.18.b,2001-08-18,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1923,2001.08.18.a,2001-08-18,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1924,2001.08.16,2001-08-16,2001,Unprovoked,Bahamas,Grand Bahama Island,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1934,2001.07.15.a,2001-07-15,2001,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1936,2001.07.06.a,2001-07-06,2001,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Night,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1940,2001.06.10,2001-06-10,2001,Provoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1942,2001.06.03,2001-06-03,2001,Unprovoked,Usa,South Carolina,unknown,Wading,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1950,2001.05.03,2001-05-03,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Night,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1954,2001.04.13.a,2001-04-13,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1957,2001.04.12.c,2001-04-12,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1958,2001.04.12.b,2001-04-12,2001,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1959,2001.04.12.a,2001-04-12,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1960,2001.04.11.d,2001-04-11,2001,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Night,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1962,2001.04.11.a,2001-04-11,2001,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1964,2001.04.08.b,2001-04-08,2001,Unprovoked,South africa,Eastern Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1966,2001.04.05,2001-04-05,2001,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1968,2001.04.02.a,2001-04-02,2001,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Morning,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1976,2001.02.04,2001-02-04,2001,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1983,2000.12.12,2000-12-12,2000,Unprovoked,Fiji,Taveuni,unknown,Swimming,unknown,M,0,unknown,Y,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1986,2000.12.03,2000-12-03,2000,Unprovoked,Australia,Queensland,unknown,Fishing,unknown,M,0,unknown,N,Morning,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1990,2000.11.18,2000-11-17,2000,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1992,2000.11.06.b,2000-11-06,2000,Unprovoked,Australia,Western Australia,unknown,Swimming,unknown,M,0,unknown,N,Dawn,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1993,2000.11.06.a,2000-11-06,2000,Unprovoked,Australia,Western Australia,unknown,Swimming,unknown,M,0,unknown,Y,Dawn,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1994,2000.11.04,2000-11-04,2000,Unprovoked,Usa,California,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1997,2000.10.18,2000-10-18,2000,Unprovoked,Usa,Hawaii,unknown,Swimming,unknown,F,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
1999,2000.10.09,2000-10-09,2000,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2000,2000.10.06.b,2000-10-06,2000,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2003,2000.09.29,2000-09-29,2000,Unprovoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2004,2000.09.25,2000-09-25,2000,Unprovoked,Australia,South Australia,unknown,Surfing,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2005,2000.09.24,2000-09-24,2000,Unprovoked,Australia,South Australia,unknown,Surfing,unknown,M,0,unknown,Y,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2007,2000.09.16.b,2000-09-16,2000,Unprovoked,Okinawa,Miyako Island,unknown,Surfing,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2011,2000.09.11,2000-09-11,2000,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2013,2000.09.10.a,2000-09-10,2000,Unprovoked,South africa,Western Cape Province,unknown,Diving,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2015,2000.09.08.b,2000-09-08,2000,Unprovoked,Usa,Florida,unknown,Wading,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2016,2000.09.08.a,2000-09-08,2000,Unprovoked,Reunion,Saint-Pierre,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2018,2000.08.31,2000-08-31,2000,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2019,2000.08.30,2000-08-30,2000,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,Y,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2022,2000.08.15,2000-08-15,2000,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2023,2000.08.13,2000-08-13,2000,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2024,2000.08.12,2000-08-12,2000,Unprovoked,Usa,Florida,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2039,2000.07.06,2000-07-06,2000,Unprovoked,Usa,North Carolina,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2041,2000.07.04.a,2000-07-04,2000,Unprovoked,Usa,Florida,unknown,Fishing,unknown,F,0,unknown,N,Morning,nurse,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2042,2000.07.02.b,2000-07-02,2000,Unprovoked,Usa,Florida,unknown,Wading,unknown,F,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2043,2000.07.02.a,2000-07-02,2000,Unprovoked,Usa,Florida,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2049,2000.06.10,2000-06-10,2000,Unprovoked,Usa,Texas,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2050,2000.06.09.b,2000-06-09,2000,Unprovoked,Usa,Alabama,unknown,Swimming,unknown,M,0,unknown,N,Dawn,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2051,2000.06.09.a,2000-06-09,2000,Unprovoked,Usa,Alabama,unknown,Swimming,unknown,M,0,unknown,N,Dawn,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2061,2000.03.30,2000-03-30,2000,Unprovoked,Australia,Queensland,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2062,2000.03.26,2000-03-26,2000,Unprovoked,Usa,Florida,unknown,Bathing,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2063,2000.03.24,2000-03-24,2000,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2064,2000.03.15,2000-03-15,2000,Unprovoked,New caledonia,North Province,unknown,Fishing,unknown,M,0,unknown,Y,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2065,2000.03.14,2000-03-14,2000,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Night,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2072,2000.02.19,2000-02-19,2000,Unprovoked,South africa,Western Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2084,1999.12.06,1999-12-06,1999,Unprovoked,Brazil,Rio de Janeiro,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2087,1999.11.23,1999-11-23,1999,Unprovoked,Usa,Hawaii,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2090,1999.11.06,1999-11-06,1999,Unprovoked,Brazil,Rio de Janeiro,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2095,1999.10.20,1999-10-20,1999,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,lemon,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2096,1999.10.01,1999-10-01,1999,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2099,1999.09.18,1999-09-19,1999,Unprovoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2105,1999.08.26,1999-08-26,1999,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2107,1999.08.23,1999-08-23,1999,Unprovoked,Marshall islands,Ralik Chain,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2109,1999.08.16,1999-08-16,1999,Unprovoked,Usa,South Carolina,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2110,1999.08.05.a,1999-08-05,1999,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2111,1999.08.05,1999-08-05,1999,Unprovoked,Bahamas,Abaco Islands,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2112,1999.07.29,1999-07-29,1999,Unprovoked,South africa,Western Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2113,1999.07.26,1999-07-26,1999,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2114,1999.07.21,1999-07-21,1999,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2115,1999.07.15,1999-07-15,1999,Unprovoked,South africa,Western Cape Province,unknown,Bathing,unknown,M,0,unknown,Y,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2117,1999.07.04,1999-07-04,1999,Unprovoked,Usa,Florida,unknown,Wading,unknown,F,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2118,1999.07.03,1999-07-03,1999,Unprovoked,South africa,Eastern Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2120,1999.06.17,1999-06-17,1999,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2122,1999.06.09,1999-06-09,1999,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2123,1999.05.29,1999-05-29,1999,Unprovoked,Australia,South Australia,unknown,Surfing,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2124,1999.05.01,1999-05-01,1999,Unprovoked,Brazil,Pernambuco,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2125,1999.04.22,1999-04-22,1999,Unprovoked,Mauritius,Grand Baie,unknown,Swimming,unknown,F,0,unknown,N,Dawn,grey_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2126,1999.04.11,1999-04-11,1999,Unprovoked,Reunion,L' Etang Salé-les-Bains,unknown,Swimming,unknown,M,0,unknown,Y,Morning,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2131,1999.03.14.b,1999-03-14,1999,Unprovoked,New caledonia,Loyalty Islands,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2134,1999.03.05,1999-03-05,1999,Unprovoked,Usa,Hawaii,unknown,Swimming,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2136,1999.02.23,1999-02-23,1999,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Night,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2137,1999.02.03,1999-02-03,1999,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,spinner,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2147,1998.12.20.R,1998-12-20,1998,Unprovoked,South africa,Eastern Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2150,1998.11.21,1998-11-21,1998,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,Y,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2151,1998.11.14,1998-11-14,1998,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2152,1998.11.11,1998-11-11,1998,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2155,1998.11.02.a,1998-11-02,1998,Unprovoked,Brazil,Pernambuco,unknown,Surfing,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2167,1998.08.30,1998-08-30,1998,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Night,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2169,1998.08.26,1998-08-26,1998,Unprovoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2171,1998.08.15,1998-08-15,1998,Unprovoked,Bahamas,Berry Islands,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,caribbean_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2175,1998.08.01.a,1998-08-01,1998,Unprovoked,South africa,Western Cape Province,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2179,1998.07.11,1998-07-11,1998,Unprovoked,South africa,Eastern Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2181,1998.06.28.a,1998-06-28,1998,Unprovoked,Australia,South Australia,unknown,Diving,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2182,1998.06.22,1998-06-22,1998,Unprovoked,South africa,Eastern Cape Province,unknown,Bathing,unknown,M,0,unknown,Y,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2187,1998.05.29.a,1998-05-29,1998,Unprovoked,South africa,Eastern Cape Province,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2188,1998.05.25,1998-05-25,1998,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,lemon,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2189,1998.05.16.c,1998-05-16,1998,Unprovoked,Usa,Florida,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2191,1998.05.16.a,1998-05-16,1998,Unprovoked,South africa,Western Cape Province,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2192,1998.04.26,1998-04-26,1998,Unprovoked,Mozambique,Gaza,unknown,Bathing,unknown,F,0,unknown,Y,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2193,1998.04.21,1998-04-21,1998,Unprovoked,Usa,Oregon,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2198,1998.03.15,1998-03-15,1998,Unprovoked,South africa,Western Cape Province,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2199,1998.03.08.a,1998-03-08,1998,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Morning,spinner,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2200,1998.02.23,1998-02-23,1998,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Morning,spinner,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2206,1998.01.14,1998-01-14,1998,Unprovoked,Mozambique,Maputo Province,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,dusky,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2210,1997.12.28.b,1997-12-28,1997,Unprovoked,South africa,Western Cape Province,unknown,Fishing,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2214,1997.11.09,1997-11-09,1997,Unprovoked,Australia,Western Australia,unknown,Diving,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2218,1997.10.28.a,1997-10-28,1997,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2219,1997.10.24,1997-10-24,1997,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2220,1997.10.21,1997-10-21,1997,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2229,1997.08.24,1997-08-24,1997,Unprovoked,Usa,California,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
2239,1997.08.02.b,1997-08-02,1997,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
